# Pre-purge -> post-purge commit map (2026-07-25)
#
# Emitted by git-filter-repo when .build/, .swiftpm/ and codex-review.diff
# were purged from all history (GH-167 row 8 / #109). Committed as the
# forensic record so any surviving pre-purge SHA citation can be resolved
# by hand later; the 263 in-repo citations were rewritten mechanically
# from this file.
#
# 11 SHAs cited in the artifacts are NOT here: they were refs/pull/* head
# commits from squash-merged epic-9/epic-11 PRs, dropped before the
# rewrite and therefore never remapped. They still resolve on GitHub,
# which retains PR head commits, and no 1:1 successor exists because the
# PRs were squashed. Left as-is rather than repointed at an epic squash,
# which would change what the citation means.
#
# old                                      new
026d64eea72dcdc04b65b30fd1dde91fcf84b7c6 a9041ce829502b39be05586674609355fc33ba85
07dfddfb95d2e7a5663adea164efbf5582032189 b7ca77ddc093d44aa05bd2ba68ccaf1aeb7a9e81
08003983253ba6ebedc1bb5ef57a5bff19c6d27f f62561649f905a4324212533f766f7802709ff3b
0947a5b79e7fd013e8ee9f845e528f6a25ae1921 0aac84e8abb35be52c5f61b149c9bdf9e68fcde5
0a8c18ac6453e7f5fd88fd64843686245aa01d2b db6fea45269316a5716fe1c7ffda4a7a31511c42
0af2b10e4463d5250d6260999056510a086bcb4f e0cca21db4a7f10adc47e691c1511021753ffdc5
0b2d8dc7eb71f7ca3f8aa2f98f6313fe81f23fec 7383c464d4e0bf47948ef8a0bc581fc4037b1582
0b35b9096290482a0952ad235fc6416cb52f7830 0cd046ce722824f57fc75e6dbfac6bbf1ed61efe
0da557dfeee57e5ea3cb52161c8ef7bdc0a13715 7977f40fac6c18639fb279ce7a8dfee0b1ef8c20
0f182b9d406221285bfac089a538ca82b126169c fdd4f12cb91c2ec9244a50b6fc211202b8091ad6
1066ce0ba0db61b84517f023804e064b96934398 478cbdb66961fcabe2629e9f498e818f396e8c56
13e962873633aec0e9ec3f7ff746422a9304a631 fc505e3ba4e71e22acffe46de2a5c479eef77272
1485cecc5f466fefea8f3a78a569904fcf0cf819 5b7d10a880f017a599c195ef8f5728b5cc272b6d
1721bc9b4b3714bb9df25c025f80857e2cc4ada4 ed26752b7871b2ad069e7564468a25debd52bf7b
1ac852a7c9601d982848a88bdec8c763475bcda3 e77e71cc7d0d8567cd945f2b162c23fced7f374d
1c8e27437cc9813630bc178822d1fdf818e247f1 7a6652a1d91a1496c7aed1dce03881d70fd90273
